Date,Observation,GDP,RLGDP,Population,MF,FIRREA,TRA86,TRA97,FHFA,PH,Pop,MORTGAGE30US,SF,All,GDP_NSA,RES_GDP_DEF,TOT_GDP_DEF,RES_GDP_NSA,RLGDP_NSA,del_RLGDPNSA,del_RLGDPNSAyoy,delPop,hhs,SFshare,SFsharepc,SFcomShare,SFcomSharepc,SFcomlagShare,SFcomlagSharepc,AllComp,SFComp,AllCompLag,SFCompLag,Mileage,CarPP
1/1/1979,81,2526.6,6741.854,224152,99,0,0,0,0,1,224.152,10.40923077,226.6,325.6,618499,32.991,37.507,29794,1649.022849,-82.153989,111.076549,569,2.78,0.695945946,69.59459459,0.699975327,69.99753269,0.700641898,70.06418985,405.3,283.7,514.1,360.2,668740,0.675555556
4/1/1979,82,2591.2,6749.063,224737,155,0,0,0,0,1,224.737,10.76384615,386.9,541.9,648326,34.117,38.413,38571,1687.777575,38.754726,44.116357,585,2.78,0.713969367,71.3969367,0.702141467,70.21414666,0.649790136,64.97901364,462.3,324.6,381.2,247.7,668740,0.675555556
7/1/1979,83,2667.6,6799.2,225418.3,155.3,0,0,0,0,1,225.4183,11.15692308,342.9,498.2,658706,35.202,39.215,42272,1679.729695,-8.04788,28.945892,681.3,2.78,0.6882778,68.82778001,0.679411163,67.94111634,0.616658044,61.66580445,489.1,332.3,386.6,238.4,668740,0.675555556
10/1/1979,84,2723.9,6816.203,226117.3,141.6,0,0,0,0,1,226.1173,12.48461538,237.7,379.3,701800,36.062,39.93,37204,1757.575758,77.846063,26.39892,699,2.78,0.626680728,62.66807277,0.700641898,70.06418985,0.624729437,62.47294372,514.1,360.2,369.6,230.9,668740,0.675555556
1/1/1980,85,2789.8,6837.641,226754,87.2,0,0,0,0,1,226.754,13.68,150.9,238.1,683564,37.014,40.804,28936,1675.237722,-82.338036,26.214873,636.7,2.76,0.633767325,63.37673247,0.649790136,64.97901364,0.658335622,65.83356221,381.2,247.7,364.1,239.7,628901,0.68722467
4/1/1980,86,2797.4,6696.753,227389,101,0,0,0,0,1,227.389,14.41923077,203.3,304.3,698570,37.888,41.771,30799,1672.38036,-2.857362,-15.397215,635,2.76,0.6680907,66.80907,0.616658044,61.66580445,0.658197007,65.81970066,386.6,238.4,287.3,189.1,628901,0.68722467
7/1/1980,87,2856.5,6688.794,228070.7,115.7,0,0,0,0,1,228.0707,12.64307692,272.6,388.3,707671,38.752,42.703,34748,1657.192703,-15.187657,-22.536992,681.7,2.76,0.702034509,70.20345094,0.624729437,62.47294372,0.653718759,65.37187594,369.6,230.9,332.1,217.1,628901,0.68722467
10/1/1980,88,2985.6,6813.535,228689.7,136.2,0,0,0,0,1,228.6897,14.22615385,225.3,361.5,767505,39.644,43.835,35036,1750.895403,93.7027,-6.680355,619,2.76,0.623236515,62.32365145,0.658335622,65.83356221,0.66344994,66.34499397,364.1,239.7,331.6,220,628901,0.68722467
1/1/1981,89,3124.2,6947.042,229155.3,97.7,0,0,0,0,1,229.1553,15.12692308,166.5,264.2,758799,40.552,44.997,28552,1686.332422,-64.562981,11.0947,465.6,2.73,0.630204391,63.02043906,0.658197007,65.81970066,0.610546379,61.05463787,287.3,189.1,314.8,192.2,631742,0.686956522
4/1/1981,90,3162.5,6895.559,229673.7,108.8,0,0,0,0,1,229.6737,16.23923077,229.9,338.7,791530,41.168,45.842,35623,1726.648052,40.31563,54.267692,518.4,2.73,0.678771774,67.87717744,0.653718759,65.37187594,0.592042186,59.2042186,332.1,217.1,208.6,123.5,631742,0.686956522
7/1/1981,91,3260.6,6978.135,230301.3,85.5,0,0,0,0,1,230.3013,17.38,184.8,270.3,811659,41.654,46.733,35178,1736.800548,10.152496,79.607845,627.6,2.73,0.683684795,68.36847947,0.66344994,66.34499397,0.614006515,61.40065147,331.6,220,245.6,150.8,631742,0.686956522
